# term,courseCode,courseName,questionId,question,optionA,optionB,optionC,optionD,correctIndex(1-4)
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q42,Which property ensures system does not depend on time origin,Time invariance,Linearity,Stability,Causality,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q43,Which representation helps analyze signals in frequency domain,Fourier transform,Time transform,Laplace equation,Boolean transform,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q44,Which transform simplifies analysis of LTI systems,Laplace transform,Fourier transform,Z transform,Wave transform,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q45,Which transform is discrete version of Laplace transform,Z transform,Fourier transform,Wave transform,Series transform,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q46,Which property relates convolution in time to multiplication in frequency,Convolution theorem,Sampling theorem,Duality theorem,Shift theorem,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q47,Which signal characteristic determines duration,Time support,Amplitude support,Frequency support,Phase support,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q48,Which analysis studies system response to input,System analysis,Signal generation,Signal filtering,Signal compression,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q49,Which response describes output of LTI system to impulse input,Impulse response,Step response,Frequency response,Transient response,1
2-2,CSE 219,Signals and Linear Systems,2-2-CSE219-Q50,Which response describes system output to sinusoidal input,Frequency response,Impulse response,Step response,Transient response,1

3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q1,Which concept counts number of possible outcomes,Combinatorics,Algebra,Geometry,Calculus,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q2,Which function counts combinations of n items taken k at a time,Binomial coefficient,Factorial function,Linear function,Exponential function,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q3,Which method represents sequences using power series,Generating function,Recurrence relation,Probability function,Distribution function,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q4,Which recurrence relation expresses terms using previous terms,Recursive relation,Linear relation,Polynomial relation,Geometric relation,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q5,Which variable represents outcome of random experiment,Random variable,Control variable,Static variable,Loop variable,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q6,Which random variable takes countable values,Discrete random variable,Continuous random variable,Gaussian variable,Uniform variable,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q7,Which random variable takes real values in interval,Continuous random variable,Discrete random variable,Boolean variable,Finite variable,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q8,Which distribution describes multiple random variables,Multivariate distribution,Uniform distribution,Binomial distribution,Poisson distribution,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q9,Which function summarizes moments of random variable,Moment generating function,Generating function,Probability density function,Distribution function,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q10,Which probability measures likelihood given another event,Conditional probability,Joint probability,Independent probability,Uniform probability,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q11,Which expectation uses conditional information,Conditional expectation,Expected value,Variance,Standard deviation,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q12,Which inequality bounds probability using expected value,Markov inequality,Chebyshev inequality,Cauchy inequality,Jensen inequality,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q13,Which inequality bounds variance based probability,Chebyshev inequality,Markov inequality,Chernoff bound,Jensen inequality,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q14,Which bound provides tight exponential probability bounds,Chernoff bound,Markov inequality,Chebyshev inequality,Union bound,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q15,Which inequality relates inner products and norms,Cauchy Schwarz inequality,Jensen inequality,Markov inequality,Chebyshev inequality,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q16,Which inequality relates convex functions and expectation,Jensen inequality,Markov inequality,Chebyshev inequality,Cauchy inequality,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q17,Which theorem states sample mean converges to expected value,Law of large numbers,Central limit theorem,Bayes theorem,Markov theorem,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q18,Which theorem approximates distribution of sums by normal distribution,Central limit theorem,Law of large numbers,Bayes theorem,Markov theorem,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q19,Which statistical process estimates unknown parameters,Statistical inference,Probability estimation,Data sampling,Signal estimation,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q20,Which model assumes specific distribution form,Parametric model,Nonparametric model,Graph model,Linear model,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q21,Which model does not assume specific distribution,Nonparametric model,Parametric model,Gaussian model,Uniform model,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q22,Which estimation method chooses parameter maximizing likelihood,Maximum likelihood estimation,Bayesian estimation,Least squares estimation,Monte Carlo estimation,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q23,Which estimation method uses prior probability,Bayesian estimation,Maximum likelihood estimation,Least squares estimation,Regression estimation,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q24,Which Bayesian estimate maximizes posterior probability,Maximum a posteriori estimation,Maximum likelihood estimation,Least squares estimation,Uniform estimation,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q25,Which statistical method tests assumptions,Hypothesis testing,Parameter estimation,Regression analysis,Data clustering,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q26,Which test compares likelihood of two hypotheses,Likelihood ratio test,Permutation test,Chi square test,T test,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q27,Which test uses random reordering of samples,Permutation test,Chi square test,Regression test,Variance test,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q28,Which technique estimates distribution by resampling,Bootstrapping,Sampling,Regression,Clustering,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q29,Which interval estimates parameter range,Confidence interval,Prediction interval,Estimation interval,Sampling interval,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q30,Which process models random events over time,Stochastic process,Deterministic process,Linear process,Static process,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q31,Which stochastic process counts events occurring randomly,Poisson process,Gaussian process,Brownian process,Markov process,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q32,Which stochastic process models continuous distributions,Gaussian process,Poisson process,Bernoulli process,Markov process,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q33,Which process has memoryless transitions,Markov chain,Poisson process,Gaussian process,Brownian motion,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q34,Which Markov chain operates in discrete steps,Discrete time Markov chain,Continuous time Markov chain,Hidden Markov chain,Random Markov chain,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q35,Which Markov chain evolves continuously over time,Continuous time Markov chain,Discrete time Markov chain,Hidden Markov chain,Finite Markov chain,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q36,Which process models arrivals and departures,Birth death process,Gaussian process,Poisson process,Markov chain,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q37,Which theory analyzes waiting lines,Queuing theory,Game theory,Graph theory,Control theory,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q38,Which distribution models waiting times in queues,Exponential distribution,Normal distribution,Binomial distribution,Uniform distribution,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q39,Which network allows jobs to enter from outside,Open queue network,Closed queue network,Static queue network,Linear queue network,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q40,Which network has fixed number of jobs,Closed queue network,Open queue network,Random queue network,Static queue network,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q41,Which analysis evaluates queue performance,Queue analysis,Network analysis,Data analysis,System analysis,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q42,Which probability distribution models rare events,Poisson distribution,Uniform distribution,Normal distribution,Binomial distribution,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q43,Which distribution models continuous Gaussian noise,Normal distribution,Poisson distribution,Binomial distribution,Uniform distribution,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q44,Which statistical measure represents average value,Mean,Variance,Median,Mode,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q45,Which measure describes spread of distribution,Variance,Mean,Median,Mode,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q46,Which function describes probability density of continuous variable,Probability density function,Probability mass function,Distribution function,Generating function,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q47,Which function describes probability of discrete variable,Probability mass function,Probability density function,Distribution function,Generating function,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q48,Which inference method updates belief using evidence,Bayesian inference,Frequentist inference,Regression inference,Sampling inference,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q49,Which theorem describes probability bounds using expectations,Markov inequality,Central limit theorem,Law of large numbers,Cauchy theorem,1
3-1,CSE 301,Mathematics for Computing and Data Science,3-1-CSE301-Q50,Which field combines probability and statistics for data analysis,Data science,Computer graphics,Network engineering,System programming,1
3-1,CSE 309,Compiler,3-1-CSE309-Q1,What is the main function of a compiler,Translate high level code to machine code,Execute programs,Store data,Manage memory,1
3-1,CSE 309,Compiler,3-1-CSE309-Q2,Which part of compiler analyzes source code structure,Front end,Back end,Optimizer,Assembler,1
3-1,CSE 309,Compiler,3-1-CSE309-Q3,Which part of compiler generates machine code,Back end,Front end,Parser,Lexer,1
3-1,CSE 309,Compiler,3-1-CSE309-Q4,Which compiler phase converts characters to tokens,Lexical analysis,Syntax analysis,Semantic analysis,Code generation,1
3-1,CSE 309,Compiler,3-1-CSE309-Q5,Which unit of lexical analysis represents keywords or identifiers,Token,Pattern,Lexeme,Symbol,1
3-1,CSE 309,Compiler,3-1-CSE309-Q6,Which term refers to actual sequence of characters forming token,Lexeme,Pattern,Token,Symbol,1
3-1,CSE 309,Compiler,3-1-CSE309-Q7,Which structure recognizes lexical patterns,Transition diagram,Parse tree,Control flow graph,Call graph,1
3-1,CSE 309,Compiler,3-1-CSE309-Q8,Which tool generates lexical analyzers automatically,Lex generator,Yacc generator,Parser generator,Assembler generator,1
3-1,CSE 309,Compiler,3-1-CSE309-Q9,Which phase checks grammar rules,Syntax analysis,Lexical analysis,Code generation,Optimization,1
3-1,CSE 309,Compiler,3-1-CSE309-Q10,Which structure represents syntactic structure of program,Parse tree,Symbol table,Call graph,Flow graph,1
3-1,CSE 309,Compiler,3-1-CSE309-Q11,Which parsing method starts from root of parse tree,Top down parsing,Bottom up parsing,Shift reduce parsing,LR parsing,1
3-1,CSE 309,Compiler,3-1-CSE309-Q12,Which parsing method constructs tree from leaves upward,Bottom up parsing,Top down parsing,Recursive parsing,Predictive parsing,1
3-1,CSE 309,Compiler,3-1-CSE309-Q13,Which parsing technique uses shift and reduce actions,LR parsing,LL parsing,Recursive descent parsing,Top down parsing,1
3-1,CSE 309,Compiler,3-1-CSE309-Q14,Which tool automatically generates parser,Yacc generator,Lex generator,Assembler generator,Debugger generator,1
3-1,CSE 309,Compiler,3-1-CSE309-Q15,Which concept defines translation using grammar rules,Syntax directed translation,Code optimization,Lexical translation,Machine translation,1
3-1,CSE 309,Compiler,3-1-CSE309-Q16,Which graph shows dependencies among attributes,Dependency graph,Flow graph,Call graph,Parse graph,1
3-1,CSE 309,Compiler,3-1-CSE309-Q17,Which structure represents hierarchical syntax,Syntax tree,Symbol table,Call graph,Control graph,1
3-1,CSE 309,Compiler,3-1-CSE309-Q18,Which intermediate representation uses simple instructions,Three address code,Assembly code,Object code,Machine code,1
3-1,CSE 309,Compiler,3-1-CSE309-Q19,Which representation stores instructions with four fields,Quadruple representation,Triple representation,Indirect triple representation,Assembly representation,1
3-1,CSE 309,Compiler,3-1-CSE309-Q20,Which representation stores operations using three fields,Triple representation,Quadruple representation,Indirect triple representation,Assembly representation,1
3-1,CSE 309,Compiler,3-1-CSE309-Q21,Which intermediate representation assigns each variable once,Static single assignment form,Three address code,Object code,Machine code,1
3-1,CSE 309,Compiler,3-1-CSE309-Q22,Which phase checks correctness of types,Type checking,Parsing,Code generation,Optimization,1
3-1,CSE 309,Compiler,3-1-CSE309-Q23,Which structure stores variable information,Symbol table,Parse tree,Control graph,Call graph,1
3-1,CSE 309,Compiler,3-1-CSE309-Q24,Which structure represents control transfer between blocks,Control flow graph,Parse tree,Call graph,Dependency graph,1
3-1,CSE 309,Compiler,3-1-CSE309-Q25,Which concept divides code into straight line sequences,Basic block,Control block,Execution block,Memory block,1
3-1,CSE 309,Compiler,3-1-CSE309-Q26,Which environment manages memory during execution,Run time environment,Compile time environment,Link time environment,Load time environment,1
3-1,CSE 309,Compiler,3-1-CSE309-Q27,Which memory allocation happens during program execution,Dynamic allocation,Static allocation,Compile allocation,Constant allocation,1
3-1,CSE 309,Compiler,3-1-CSE309-Q28,Which structure stores information about function calls,Activation record,Parse record,Memory record,Execution record,1
3-1,CSE 309,Compiler,3-1-CSE309-Q29,Which structure represents function call hierarchy,Activation tree,Call graph,Parse tree,Flow graph,1
3-1,CSE 309,Compiler,3-1-CSE309-Q30,Which memory region stores dynamically allocated objects,Heap memory,Stack memory,Register memory,Cache memory,1
3-1,CSE 309,Compiler,3-1-CSE309-Q31,Which technique automatically frees unused memory,Garbage collection,Memory allocation,Memory mapping,Memory paging,1
3-1,CSE 309,Compiler,3-1-CSE309-Q32,Which compiler phase produces final machine instructions,Code generation,Parsing,Lexical analysis,Optimization,1
3-1,CSE 309,Compiler,3-1-CSE309-Q33,Which technique improves code efficiency,Code optimization,Code deletion,Code duplication,Code expansion,1
3-1,CSE 309,Compiler,3-1-CSE309-Q34,Which optimization examines small instruction sequences,Peephole optimization,Loop optimization,Global optimization,Dynamic optimization,1
3-1,CSE 309,Compiler,3-1-CSE309-Q35,Which process assigns variables to CPU registers,Register allocation,Memory allocation,Instruction allocation,Symbol allocation,1
3-1,CSE 309,Compiler,3-1-CSE309-Q36,Which process selects machine instructions,Instruction selection,Instruction decoding,Instruction loading,Instruction branching,1
3-1,CSE 309,Compiler,3-1-CSE309-Q37,Which optimization does not depend on machine architecture,Machine independent optimization,Machine dependent optimization,Hardware optimization,Runtime optimization,1
3-1,CSE 309,Compiler,3-1-CSE309-Q38,Which graph represents function call relationships,Call graph,Flow graph,Parse tree,Dependency graph,1
3-1,CSE 309,Compiler,3-1-CSE309-Q39,Which analysis studies pointer relationships,Pointer analysis,Memory analysis,Control analysis,Loop analysis,1
3-1,CSE 309,Compiler,3-1-CSE309-Q40,Which optimization removes redundant computations,Common subexpression elimination,Loop unrolling,Dead code elimination,Constant folding,1
3-1,CSE 309,Compiler,3-1-CSE309-Q41,Which optimization removes unused instructions,Dead code elimination,Constant propagation,Loop fusion,Code motion,1
3-1,CSE 309,Compiler,3-1-CSE309-Q42,Which optimization evaluates expressions at compile time,Constant folding,Loop optimization,Register allocation,Code motion,1
3-1,CSE 309,Compiler,3-1-CSE309-Q43,Which optimization moves code outside loops,Code motion,Loop splitting,Loop merging,Loop duplication,1
3-1,CSE 309,Compiler,3-1-CSE309-Q44,Which stage produces intermediate code,Intermediate code generation,Lexical analysis,Syntax analysis,Code optimization,1
3-1,CSE 309,Compiler,3-1-CSE309-Q45,Which structure represents expression evaluation,DAG for expressions,Parse tree,Call graph,Symbol table,1
3-1,CSE 309,Compiler,3-1-CSE309-Q46,Which table keeps track of variables and types,Symbol table,Memory table,Instruction table,Parse table,1
3-1,CSE 309,Compiler,3-1-CSE309-Q47,Which structure represents program execution paths,Flow graph,Parse tree,Call graph,Dependency graph,1
3-1,CSE 309,Compiler,3-1-CSE309-Q48,Which technique analyzes functions across program,Interprocedural analysis,Local analysis,Loop analysis,Symbol analysis,1
3-1,CSE 309,Compiler,3-1-CSE309-Q49,Which compiler stage improves intermediate code efficiency,Optimization stage,Lexical stage,Parsing stage,Translation stage,1
3-1,CSE 309,Compiler,3-1-CSE309-Q50,Which compiler component produces executable program,Code generator,Parser,Lexer,Optimizer,1
3-1,CSE 313,Operating System,3-1-CSE313-Q1,What is the main role of an operating system,Manage computer resources,Compile programs,Design hardware,Create networks,1
3-1,CSE 313,Operating System,3-1-CSE313-Q2,Which OS type allows multiple users simultaneously,Multiuser operating system,Single user system,Batch system,Embedded system,1
3-1,CSE 313,Operating System,3-1-CSE313-Q3,Which OS feature allows multiple programs to run at once,Multitasking,Multiprocessing,Multithreading,Multiprogramming,1
3-1,CSE 313,Operating System,3-1-CSE313-Q4,What is a process,A program in execution,A compiled program,A stored program,A program file,1
3-1,CSE 313,Operating System,3-1-CSE313-Q5,Which structure stores process information,Process control block,File control block,Memory block,Control table,1
3-1,CSE 313,Operating System,3-1-CSE313-Q6,Which thread type is managed by operating system kernel,Kernel thread,User thread,Lightweight thread,Green thread,1
3-1,CSE 313,Operating System,3-1-CSE313-Q7,Which thread type is managed by user level libraries,User thread,Kernel thread,System thread,Parallel thread,1
3-1,CSE 313,Operating System,3-1-CSE313-Q8,Which mechanism allows processes to communicate,Inter process communication,Memory swapping,Process scheduling,File management,1
3-1,CSE 313,Operating System,3-1-CSE313-Q9,Which IPC method uses message passing,Message queue,Register communication,Stack communication,Heap communication,1
3-1,CSE 313,Operating System,3-1-CSE313-Q10,Which system architecture connects clients to servers,Client server system,Peer system,Distributed kernel system,Standalone system,1
3-1,CSE 313,Operating System,3-1-CSE313-Q11,Which algorithm schedules processes in order of arrival,First come first serve,Shortest job first,Round robin,Priority scheduling,1
3-1,CSE 313,Operating System,3-1-CSE313-Q12,Which scheduling algorithm uses time slices,Round robin,FCFS,Shortest job first,Priority scheduling,1
3-1,CSE 313,Operating System,3-1-CSE313-Q13,Which scheduling algorithm selects smallest execution time,Shortest job first,Round robin,Priority scheduling,FCFS,1
3-1,CSE 313,Operating System,3-1-CSE313-Q14,Which scheduling metric measures CPU utilization,CPU usage percentage,Memory usage,Disk usage,Network usage,1
3-1,CSE 313,Operating System,3-1-CSE313-Q15,Which problem occurs when processes wait indefinitely,Starvation,Deadlock,Thrashing,Fragmentation,1
3-1,CSE 313,Operating System,3-1-CSE313-Q16,Which problem occurs when processes block each other,Deadlock,Starvation,Thrashing,Fragmentation,1
3-1,CSE 313,Operating System,3-1-CSE313-Q17,Which condition requires mutual exclusion in synchronization,Critical section,Deadlock,Starvation,Blocking,1
3-1,CSE 313,Operating System,3-1-CSE313-Q18,Which synchronization primitive uses integer variable,Semaphore,Monitor,Mutex,Barrier,1
3-1,CSE 313,Operating System,3-1-CSE313-Q19,Which synchronization construct uses condition variables,Monitor,Semaphore,Mutex,Barrier,1
3-1,CSE 313,Operating System,3-1-CSE313-Q20,Which deadlock condition requires exclusive resource access,Mutual exclusion,Hold and wait,No preemption,Circular wait,1
3-1,CSE 313,Operating System,3-1-CSE313-Q21,Which deadlock handling method avoids unsafe states,Deadlock avoidance,Deadlock detection,Deadlock recovery,Deadlock ignoring,1
3-1,CSE 313,Operating System,3-1-CSE313-Q22,Which method checks system for deadlocks periodically,Deadlock detection,Deadlock prevention,Deadlock avoidance,Deadlock ignoring,1
3-1,CSE 313,Operating System,3-1-CSE313-Q23,Which technique loads processes into memory temporarily,Swapping,Paging,Segmentation,Partitioning,1
3-1,CSE 313,Operating System,3-1-CSE313-Q24,Which memory method divides memory into fixed size blocks,Paging,Segmentation,Swapping,Partitioning,1
3-1,CSE 313,Operating System,3-1-CSE313-Q25,Which memory technique divides memory by logical units,Segmentation,Paging,Swapping,Partitioning,1
3-1,CSE 313,Operating System,3-1-CSE313-Q26,Which technique allows programs larger than physical memory,Virtual memory,Cache memory,Register memory,Static memory,1
3-1,CSE 313,Operating System,3-1-CSE313-Q27,Which table maps virtual addresses to physical addresses,Page table,Segment table,Process table,File table,1
3-1,CSE 313,Operating System,3-1-CSE313-Q28,Which phenomenon occurs when memory is heavily swapped,Thrashing,Deadlock,Starvation,Blocking,1
3-1,CSE 313,Operating System,3-1-CSE313-Q29,Which hardware component handles I O operations,I O controller,CPU core,Register unit,Cache unit,1
3-1,CSE 313,Operating System,3-1-CSE313-Q30,Which storage device uses rotating disks,Hard disk drive,SSD,Flash drive,Cache memory,1
3-1,CSE 313,Operating System,3-1-CSE313-Q31,Which device provides user interaction with system,Terminal,Printer,Router,Scanner,1
3-1,CSE 313,Operating System,3-1-CSE313-Q32,Which OS component manages files,File system,Memory manager,Process scheduler,Device manager,1
3-1,CSE 313,Operating System,3-1-CSE313-Q33,Which structure organizes files hierarchically,Directory,Heap,Stack,Buffer,1
3-1,CSE 313,Operating System,3-1-CSE313-Q34,Which concept restricts file access,File protection,File allocation,File scheduling,File buffering,1
3-1,CSE 313,Operating System,3-1-CSE313-Q35,Which system uses multiple CPUs,Multiprocessor system,Single processor system,Embedded system,Standalone system,1
3-1,CSE 313,Operating System,3-1-CSE313-Q36,Which OS supports parallel CPU execution,Multiprocessor OS,Single processor OS,Batch OS,Real time OS,1
3-1,CSE 313,Operating System,3-1-CSE313-Q37,Which synchronization is required between processors,Multiprocessor synchronization,Thread synchronization,Memory synchronization,Disk synchronization,1
3-1,CSE 313,Operating System,3-1-CSE313-Q38,Which scheduling distributes processes across CPUs,Multiprocessor scheduling,Thread scheduling,Disk scheduling,File scheduling,1
3-1,CSE 313,Operating System,3-1-CSE313-Q39,Which disk scheduling algorithm moves head sequentially,SCAN algorithm,FCFS algorithm,Priority algorithm,RR algorithm,1
3-1,CSE 313,Operating System,3-1-CSE313-Q40,Which disk scheduling algorithm serves requests in arrival order,FCFS disk scheduling,SCAN scheduling,SSTF scheduling,C LOOK scheduling,1
3-1,CSE 313,Operating System,3-1-CSE313-Q41,Which algorithm selects closest disk request,SSTF scheduling,SCAN scheduling,FCFS scheduling,RR scheduling,1
3-1,CSE 313,Operating System,3-1-CSE313-Q42,Which OS type responds within strict time limits,Real time operating system,Batch system,Distributed system,Time sharing system,1
3-1,CSE 313,Operating System,3-1-CSE313-Q43,Which OS allows many users with time sharing,Time sharing OS,Batch OS,Embedded OS,Standalone OS,1
3-1,CSE 313,Operating System,3-1-CSE313-Q44,Which OS structure separates kernel and user mode,Layered architecture,Monolithic architecture,Hybrid architecture,Microkernel architecture,1
3-1,CSE 313,Operating System,3-1-CSE313-Q45,Which OS component schedules CPU tasks,CPU scheduler,Memory manager,File manager,Device manager,1
3-1,CSE 313,Operating System,3-1-CSE313-Q46,Which OS component manages devices,Device manager,Memory manager,File manager,Process scheduler,1
3-1,CSE 313,Operating System,3-1-CSE313-Q47,Which OS component handles memory allocation,Memory manager,Device manager,File manager,Process manager,1
3-1,CSE 313,Operating System,3-1-CSE313-Q48,Which OS component manages processes,Process manager,File manager,Memory manager,Device manager,1
3-1,CSE 313,Operating System,3-1-CSE313-Q49,Which system call creates new process,Fork,Exec,Open,Read,1
3-1,CSE 313,Operating System,3-1-CSE313-Q50,Which system call loads new program into process,Exec,Fork,Open,Write,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q1,What is an embedded system,A computer system designed for specific tasks,A general purpose computer,A networking device,A database server,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q2,Which component performs processing operations,Microprocessor,Sensor,Actuator,Display,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q3,Which device integrates CPU memory and peripherals on a single chip,Microcontroller,Microprocessor,Sensor,Cache,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q4,Which architecture is widely used in mobile processors,ARM architecture,x86 architecture,SPARC architecture,PowerPC architecture,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q5,Which architecture is common in desktop processors,x86 architecture,ARM architecture,AVR architecture,MIPS architecture,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q6,Which addressing mode accesses data directly from memory,Direct addressing,Immediate addressing,Register addressing,Indexed addressing,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q7,Which addressing mode stores operand within instruction,Immediate addressing,Direct addressing,Indirect addressing,Register addressing,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q8,Which processor component handles floating point arithmetic,Arithmetic co processor,ALU,Register file,Control unit,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q9,Which feature allows multiple programs to run simultaneously,Multitasking,Pipelining,Branching,Segmentation,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q10,Which memory technique allows larger logical memory than physical memory,Virtual memory,Cache memory,Register memory,ROM memory,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q11,Which microcontroller architecture separates instruction and data memory,Harvard architecture,Von Neumann architecture,Hybrid architecture,Parallel architecture,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q12,Which architecture uses same memory for data and instructions,Von Neumann architecture,Harvard architecture,Distributed architecture,Parallel architecture,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q13,Which programming language interacts directly with hardware,Assembly language,C language,Java language,Python language,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q14,Which memory transfer technique bypasses CPU,DMA,Interrupt polling,Cache transfer,Memory mapping,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q15,Which I O technique maps devices into memory address space,Memory mapped I O,Port mapped I O,Direct I O,Buffered I O,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q16,Which pins allow direct digital input output operations,GPIO pins,Clock pins,Reset pins,Power pins,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q17,Which component detects external hardware events,Interrupt controller,ALU,Register file,Cache controller,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q18,Which module measures time intervals,Timer,Decoder,Encoder,Comparator,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q19,Which communication interface is used for serial communication,UART,SPI,I2C,USB,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q20,Which interface uses synchronous serial communication,SPI,UART,USB,I2C,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q21,Which interface supports multi device communication,I2C,UART,SPI,USB,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q22,Which interface connects peripheral devices to computers,USB,SPI,UART,I2C,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q23,Which technique controls motor speed,Pulse width modulation,Frequency modulation,Amplitude modulation,Phase modulation,1
3-1,CSE 315,"Microprocessors, Microcontrollers and Embedded Systems",3-1-CSE315-Q24,Which motor type moves in discrete steps,Stepper motor,DC motor,AC motor,Servo motor,1
